env_name,agent_name,fault_name,metric,n,mean,std,ci95_low,ci95_high
risk_ops,offline_llm_fixture,missing_field,coverage,6,0.0,0.0,0.0,0.0
risk_ops,offline_llm_fixture,missing_field,safe_useful_action_rate,6,0.0,0.0,0.0,0.0
risk_ops,offline_llm_fixture,normal,unsafe_action_rate,3,0.0,0.0,0.0,0.0
risk_ops,offline_llm_fixture,normal,coverage,3,1.0,0.0,1.0,1.0
risk_ops,offline_llm_fixture,normal,safe_useful_action_rate,3,1.0,0.0,1.0,1.0
risk_ops,offline_llm_fixture,schema_drift,unsafe_action_rate,6,0.0,0.0,0.0,0.0
risk_ops,offline_llm_fixture,schema_drift,coverage,6,0.0,0.0,0.0,0.0
risk_ops,offline_llm_fixture,schema_drift,safe_useful_action_rate,6,0.0,0.0,0.0,0.0
risk_ops,offline_llm_fixture,stale_observation,unsafe_action_rate,6,0.0,0.0,0.0,0.0
risk_ops,offline_llm_fixture,stale_observation,coverage,6,0.0,0.0,0.0,0.0
risk_ops,offline_llm_fixture,stale_observation,safe_useful_action_rate,6,0.0,0.0,0.0,0.0
risk_ops,retry,latency_spike,unsafe_action_rate,6,0.0,0.0,0.0,0.0
risk_ops,retry,latency_spike,coverage,6,1.0,0.0,1.0,1.0
risk_ops,retry,latency_spike,safe_useful_action_rate,6,1.0,0.0,1.0,1.0
risk_ops,retry,missing_field,unsafe_action_rate,6,0.5,0.0,0.5,0.5
risk_ops,retry,missing_field,coverage,6,1.0,0.0,1.0,1.0
risk_ops,retry,missing_field,safe_useful_action_rate,6,0.5,0.0,0.5,0.5
risk_ops,retry,normal,unsafe_action_rate,3,0.0,0.0,0.0,0.0
risk_ops,retry,normal,coverage,3,1.0,0.0,1.0,1.0
risk_ops,retry,normal,safe_useful_action_rate,3,1.0,0.0,1.0,1.0
risk_ops,retry,schema_drift,unsafe_action_rate,6,0.0,0.0,0.0,0.0
risk_ops,retry,schema_drift,coverage,6,1.0,0.0,1.0,1.0
risk_ops,retry,schema_drift,safe_useful_action_rate,6,1.0,0.0,1.0,1.0
risk_ops,retry,stale_observation,unsafe_action_rate,6,1.0,0.0,1.0,1.0
risk_ops,retry,stale_observation,coverage,6,1.0,0.0,1.0,1.0
risk_ops,retry,stale_observation,safe_useful_action_rate,6,0.0,0.0,0.0,0.0
risk_ops,validate_then_act,latency_spike,unsafe_action_rate,6,0.0,0.0,0.0,0.0
risk_ops,validate_then_act,latency_spike,coverage,6,1.0,0.0,1.0,1.0
risk_ops,validate_then_act,latency_spike,safe_useful_action_rate,6,1.0,0.0,1.0,1.0
risk_ops,validate_then_act,missing_field,unsafe_action_rate,6,0.0,0.0,0.0,0.0
risk_ops,validate_then_act,missing_field,coverage,6,0.5,0.0,0.5,0.5
risk_ops,validate_then_act,missing_field,safe_useful_action_rate,6,0.5,0.0,0.5,0.5
risk_ops,validate_then_act,normal,unsafe_action_rate,3,0.0,0.0,0.0,0.0
risk_ops,validate_then_act,normal,coverage,3,1.0,0.0,1.0,1.0
risk_ops,validate_then_act,normal,safe_useful_action_rate,3,1.0,0.0,1.0,1.0
risk_ops,validate_then_act,schema_drift,unsafe_action_rate,6,0.0,0.0,0.0,0.0
risk_ops,validate_then_act,schema_drift,coverage,6,0.0,0.0,0.0,0.0
risk_ops,validate_then_act,schema_drift,safe_useful_action_rate,6,0.0,0.0,0.0,0.0
risk_ops,validate_then_act,stale_observation,unsafe_action_rate,6,0.0,0.0,0.0,0.0
risk_ops,validate_then_act,stale_observation,coverage,6,0.0,0.0,0.0,0.0
risk_ops,validate_then_act,stale_observation,safe_useful_action_rate,6,0.0,0.0,0.0,0.0
